Famille,all_pond_perc,perc_s7,perc_s14,perc_s15
Russulaceae,21.4895369208704,29.4478527607362,22.8070175438596,12.2137404580153
Thelephoraceae,15.9956980448123,12.2699386503067,10.5263157894737,25.1908396946565
Myxotrichaceae,7.19740363621292,9.8159509202454,6.4327485380117,5.34351145038168
Dothydeomycetes,6.95898581798998,3.0674847,2.9239766,14.8854961832061
Helotiales,5.52102507109446,6.13496932515337,5.84795321637427,4.5801527
Pyronemataceae,5.09289270883229,3.6809816,7.01754385964912,4.5801527
Other,37.7444578001877,42.3312883435583,42.1052631578947,42.3664122137405
